author,text,likeCount,publishedAt
@OwnedByMoomin,"I always say to talented people in sports (talented, as in they  prooved themeselves in some competition or in a team as doing something that stands out). Please respect your talent! With the explanation that they need to nurture their talent and work hard to really become someone that will be recogniezed within their sport. Whatever will be the outcome you know that you did your best and that you will carry with you all life. I didn´t really respect my own talent. I found several reasons for not pushing through. Winning and knowing exactly what I needed to actually do to move to the next step i couldn´t follow through. My biggest talent was grit, until it wasn´t any more. I had a hard time accepting and figuring out how it was I came to a situation where I did not want it as much as before. How injuries and other stuff ended up taking my grit away instead of growing stronger. Still puzzled but I learnt over the passed 25 years that the environment didn´t suit me. Individual sport but travelling with a team that casused rivalry within the team. I actually made more friends outside my own team over the years with whom I could share meaningful discussions and views of culture and life. (ok it wasn´t all that deep but deep enough and much more rewarding than fighting within my own team and not having especially interesting conversations over days and months in training and competition all over the world). Not being given the space to cheerish moments of culture and history while travelling the world doing sports, is really missed opportunities. Unfortunately the time after sports has been a roller coaster of me trying to be the best I can but also not respecting the time and strategy it takes to reach goals in civilian life. I had success if it´s measured in well paid and otherwise rewarding job positions, but only to feel I did not really earn it and never really finding myself. Always having that lost sporting career at the back of my mind. Finally at 45 I can truly enjoy life, family, work and everything else that is presented to me in everyday life. Maybe what Federer misses is that not everyone will have back up from family, maybe even worse, only pressure. To manage pressure from family and juggling an idea of making career choices that are not really accepted by family can be draining. To the point that you become half of what you really are and actually can achieve. So be prepared to walk that walk of not fulfilling what is expected from you but the walk that leads you to the experiences you will bring along for the rest of your life. Lost experiences is often something you will not be able to take back later in life. Be sure act on your curiosity. It doesn´t cost you anything more than time and perhaps some money. Follow through and act on the things that interests you, even if they might interfere with that straight path you are expected to follow. It all adds up to something good and it adds to your character whatever the outcome of the experience will be. It could be a bad experience but it all adds up to make you a broad minded person with great understanding of many things rather than holding tight to the comfort of being great at your profession. Nothing bad with being good at your profession but the world and companies need people that are more than their profession and more than their specifik knowledge. More importantly YOU need it for yourself, for your life to be meaningful and for you to be fulfilled. The end:)",0,2024-07-18T13:32:43Z
@Damage_Inc,Roger is such a class act.,1,2024-07-18T06:49:00Z
@Scruples1,What a smooth operator. The GOAT tennis.,2,2024-07-18T02:24:25Z
@tanyapivetz450,❤❤❤❤❤❤❤❤❤❤❤❤,0,2024-07-17T21:11:01Z
@a07z,"Starts <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=280"">4:40</a>",0,2024-07-17T07:16:09Z
@ricci-ArsVivendi1957,Touching Speech of Maestro  Roger Federer!!!,5,2024-07-16T20:14:51Z
@choi487,&quot;Efforless is a myth&quot;,0,2024-07-16T09:35:01Z
@natalevi,What a beautiful man and soul🙂,1,2024-07-16T07:08:12Z
@marilinebraz2832,He will have hair in 20 years as he already got his hair implant….,0,2024-07-16T06:20:14Z
@rubbersoul0854,One of the best speech I heard!,1,2024-07-15T04:31:05Z
@Arunimakarim,Loved it completely.,0,2024-07-15T03:13:32Z
@catherines7553,Love Roger,1,2024-07-15T02:23:14Z
@quinnmarshall8653,that noise in the background is so annoying,0,2024-07-15T00:07:00Z
@HumairaFaiz-xq5ze,King Roger❤❤❤,1,2024-07-14T17:35:13Z
@HumairaFaiz-xq5ze,❤❤❤❤❤❤,1,2024-07-14T17:35:00Z
@dcunited01,Who keeps yelling?,0,2024-07-14T17:25:56Z
@mjhzen8313,"Federer is a class act, on and off the court. He is the GOAT.",4,2024-07-14T15:09:02Z
@JamnaKayster,Love it. God bless you all ❤❤❤,1,2024-07-14T10:36:54Z
@scktdg,He is so emotional. The problem is that he is not changing his tone throughout all his speech.,0,2024-07-14T08:40:02Z
@minniek4679,Dartmouth couldn&#39;t shut up the jerk yelling. Fail.,0,2024-07-14T01:04:35Z
@christinawijaya6179,he even delivered the speech efforlessly,0,2024-07-13T14:35:56Z
@anandramlod2345,All time great player...,0,2024-07-13T10:45:55Z
@AryanIndustrial,They made wood like structure and put them on a Mike to send massage in community for &quot;climate friendly things&quot;. I don&#39;t think it&#39;s a good way. 😢,0,2024-07-13T00:09:27Z
@speakerscoach,A nice speech but pretty much ruined by loud distracting noises nearby. You can clearly see that Roger was thrown by this as well. Why didn’t the authorities shut these noises down ?,1,2024-07-12T23:54:39Z
@manaspanigrahi9638,❣goat  even outside of field,1,2024-07-12T18:31:53Z
@KrishnaJPal-gx5zv,"Wow, Roger almost cried at the end lol",0,2024-07-12T09:33:29Z
@drbanjankumar8849,No Professor on this earth can teach your lesson Dr Roger. The lesson taught from life is lesson taught forever.  None can match your experience.  Luv U On D court🎾 and Off the Court🏡.,0,2024-07-12T08:11:18Z
@jasperherr8694,Wow he got hair transplant,0,2024-07-12T07:44:51Z
@pablolloyd1450,"And, most of all, be kind to one another. Damn <br>Did anybody notice him tearing up?",0,2024-07-12T00:58:51Z
@Subhadip36,"<a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=796"">13:16</a> Perfection is impossible! &lt;3",1,2024-07-11T11:38:45Z
@bukhtiarshah9843,Sir Roger federer golden legend in universal love you so much miss you so much teniss history best player ❤❤❤,1,2024-07-11T07:57:47Z
@dusancville,"Excellent ball hitting. Main stream promotions was the business, so embraced by mainstream media.<br>Intellectual average.<br>It&#39;s a parody giving him doctorate.",0,2024-07-10T20:33:54Z
@jonmulshaw3760,legend,0,2024-07-10T11:18:51Z
@alielhadidakik6931,Free free palestine . Thank you for wearing the truth for those who wore the Koufiyah &amp; thank you Roger,0,2024-07-09T22:10:40Z
@danikeg2870,It&#39;s why I really love Roger❤. I&#39;ve learned from him over the years so many things. Thank  you Doctor!😊,0,2024-07-09T15:05:53Z
@michaelhalliday6501,Roger feder you are one of the best sports person in the world what u have achieved I. Your life is on another planet what an unbelievable player and person humble on and off the court your charity work is phenomenal  you speak with elegance and ease friendly positive and a great sporting icon in the world it’s great to see you now achieving different things roger moving forward I. Your life with you and your family u are greatly mist on tennis court it’s just not same not seeing Jon courts you have achieved so much in life and there is more adventures to come from you roger what a man person legend,0,2024-07-09T14:59:15Z
@dr.nidhishendurnikar5126,Excellent and inspiring,0,2024-07-09T11:58:12Z
@JLCruise1,THE GOAT 🐐,0,2024-07-09T11:35:07Z
@AmanSingh-vs3mn,Roger Federer is simply peRFection personified..love you Roger,1,2024-07-09T09:42:08Z
@sandere6593,he forgets that some people have more talent then others so have also better chances to be succesfull.,0,2024-07-09T08:59:31Z
@MirandaEvans-xz3eo,Stick to tennis commentary,1,2024-07-09T07:37:05Z
@dbrownlive7115,You are the best ❤,0,2024-07-09T06:44:00Z
@ketul_duleraa18,This speech took 20 years of hard work,6,2024-07-09T02:37:56Z
@ajithkumarn5955,Great family man and a great player ❤ Always love you.,0,2024-07-09T01:54:08Z
@motherocean3,Wow... Wise words. I don&#39;t know who this man is but his wisdom and insight are words to live by.,0,2024-07-08T22:59:42Z
@venkateshtiwari,"1) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=364"">6:04</a><br><br>2) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=411"">6:51</a><br><br>3) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=529"">8:49</a><br><br>4) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=849"">14:09</a><br><br>5) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=981"">16:21</a><br><br>6) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=1181"">19:41</a>",0,2024-07-08T08:00:54Z
@venkateshtiwari,"1) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=302"">5:02</a> ..<br><br>2) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=423"">7:03</a><br><br>3) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=1354"">22:34</a>....<br><br>4) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=1393"">23:13</a><br><br>5) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=1439"">23:59</a><br><br>6) <a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=1477"">24:37</a>",0,2024-07-08T07:59:38Z
@russelltennis15,Dartmouth should be ashamed to have people protesting Roger Federer,0,2024-07-07T21:42:51Z
@user-xg4td3gg7e,‘You need to work hard and but also have some fun on the side’ - Roger Federer 👍,1,2024-07-07T18:03:38Z
@DE-xt7jv,What’s the noise in the background.,0,2024-07-07T16:28:55Z
@matheussmoraess,🇹🇷😝,0,2024-07-07T12:52:56Z
@Tar_kat,"What&#39;s your chess rating, Rog? :)",0,2024-07-07T10:28:30Z
@marianaferraz5332,Esse cara é incrível!!!!!!!🥲💚💚💚,1,2024-07-07T05:18:47Z
@TotalTennisGeek,Wow! That 54% stat was mind-blowing!!!,1,2024-07-06T23:41:24Z
@alexbcook,Wish the protestors would&#39;ve respected the speaker by shutting up for 15 minutes. Not helping your cause.,0,2024-07-06T21:31:33Z
@annemackenzie7295,"Wow, what an awesome speech. I wish I’d heard that when I graduated.  What a privilege for these young people. I hope they never forget  what Roger Federer has shared with them 🙏❤️😀",0,2024-07-06T16:29:32Z
@niksufian5032,Wow.. what a speech..,0,2024-07-06T04:58:49Z
@TinselDoll,"Who are the whiny cretins disrupting Roger&#39;s speech, in the background?",2,2024-07-05T19:54:46Z
@jhors7777,"Very well said Roger, thank-you.",0,2024-07-05T19:52:51Z
@deppfan45,Addie loved  you from the very start.  She picked the BEST!!!,0,2024-07-05T19:39:42Z
@martywilson6533,watched this great man all his carreer and he is the best ambassador in all of splorts  and no other is better than roger at presenting himself as the great role model he truly is  hats off to you roger ..incredible ..,0,2024-07-05T19:09:36Z
@candymoher9896,Congrats to his speechwriter. This is a very good speech.,0,2024-07-05T12:58:53Z
